timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 20:31:04.694, 14087 MiB, 16303 MiB, 99 %, 83, 158.53 W
2026/05/11 20:31:09.694, 14087 MiB, 16303 MiB, 99 %, 83, 155.85 W
2026/05/11 20:31:14.695, 14087 MiB, 16303 MiB, 99 %, 84, 158.28 W
2026/05/11 20:31:19.696, 14087 MiB, 16303 MiB, 99 %, 83, 159.10 W
2026/05/11 20:31:24.696, 14087 MiB, 16303 MiB, 99 %, 84, 158.93 W
2026/05/11 20:31:29.697, 14087 MiB, 16303 MiB, 99 %, 84, 158.60 W
2026/05/11 20:31:34.697, 14087 MiB, 16303 MiB, 99 %, 84, 158.72 W
2026/05/11 20:31:39.698, 14087 MiB, 16303 MiB, 99 %, 84, 152.29 W
2026/05/11 20:31:44.698, 14087 MiB, 16303 MiB, 97 %, 84, 158.93 W
2026/05/11 20:31:49.699, 14087 MiB, 16303 MiB, 99 %, 84, 159.12 W
2026/05/11 20:31:54.699, 14087 MiB, 16303 MiB, 99 %, 85, 158.47 W
2026/05/11 20:31:59.700, 14087 MiB, 16303 MiB, 99 %, 84, 159.22 W
2026/05/11 20:32:04.703, 14087 MiB, 16303 MiB, 99 %, 84, 158.98 W
2026/05/11 20:32:09.705, 14087 MiB, 16303 MiB, 99 %, 85, 158.83 W
2026/05/11 20:32:14.705, 14087 MiB, 16303 MiB, 99 %, 84, 159.09 W
2026/05/11 20:32:19.706, 14087 MiB, 16303 MiB, 99 %, 85, 158.96 W
2026/05/11 20:32:24.706, 14087 MiB, 16303 MiB, 99 %, 84, 158.60 W
2026/05/11 20:32:29.707, 14087 MiB, 16303 MiB, 99 %, 84, 159.08 W
2026/05/11 20:32:34.708, 14087 MiB, 16303 MiB, 93 %, 81, 80.07 W
2026/05/11 20:32:39.708, 14087 MiB, 16303 MiB, 93 %, 82, 143.30 W
2026/05/11 20:32:44.709, 14087 MiB, 16303 MiB, 99 %, 83, 159.02 W
2026/05/11 20:32:49.709, 14087 MiB, 16303 MiB, 99 %, 83, 158.92 W
2026/05/11 20:32:54.710, 14087 MiB, 16303 MiB, 99 %, 83, 158.68 W
2026/05/11 20:32:59.710, 14087 MiB, 16303 MiB, 99 %, 83, 158.96 W
2026/05/11 20:33:04.720, 14087 MiB, 16303 MiB, 99 %, 84, 157.67 W
2026/05/11 20:33:09.720, 14087 MiB, 16303 MiB, 98 %, 84, 159.16 W
2026/05/11 20:33:14.721, 14087 MiB, 16303 MiB, 99 %, 84, 159.54 W
2026/05/11 20:33:19.721, 14087 MiB, 16303 MiB, 99 %, 84, 158.75 W
2026/05/11 20:33:24.722, 14087 MiB, 16303 MiB, 99 %, 84, 159.18 W
